S.No.,Hospital Name,A+,A-,B+,B-,O+,O-,AB+,AB-,Total Units,Last Updated Date
257,Paras Hospital HEC,1,0,3,0,0,0,0,0,4,07-05-2024 09:31
258,Paras Hospital HEC,1,0,3,0,0,0,0,0,4,07-05-2024 09:31
259,"Blood Bank, Sadar Hospital , Lohardaga",13,1,8,0,34,0,0,0,56,07-05-2024 09:46
260,"Health Point Hospital, Blood Centre",1,0,6,0,5,0,0,0,12,08-05-2024 00:32
261,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,08-05-2024 07:53
262,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,08-05-2024 07:54
263,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,08-05-2024 11:01
264,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,08-05-2024 11:33
265,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,08-05-2024 11:33
266,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,09-05-2024 07:47
267,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,09-05-2024 07:47
268,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,09-05-2024 09:13
269,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
270,"Blood Bank, Sadar Hospital, Jamtara",2,1,3,0,1,0,2,0,9,09-05-2024 09:55
271,"Blood Bank, Sadar Hospital, Ramgarh",5,0,8,2,5,0,3,0,23,09-05-2024 10:25
272,Blood Bank Dhanbad,9,0,22,1,3,0,2,0,37,09-05-2024 10:46
273,"Blood Bank, Medanta Hospital, RANCHI",2,0,9,0,8,0,3,0,22,09-05-2024 10:47
274,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,09-05-2024 10:58
275,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,5,1,0,0,0,0,7,09-05-2024 11:00
276,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,5,1,0,0,0,0,7,09-05-2024 11:04
277,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",4,0,7,1,6,0,0,0,18,09-05-2024 11:05
278,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",4,0,7,1,6,0,0,0,18,09-05-2024 11:05
279,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",4,0,7,1,6,0,0,0,18,09-05-2024 11:05
280,"Blood Bank, Sadar Hospital , Lohardaga",10,2,7,0,30,0,0,0,49,09-05-2024 11:32
281,"Health Point Hospital, Blood Centre",4,0,2,0,8,0,0,0,14,09-05-2024 11:36
282,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,09-05-2024 14:12
283,"Blood Bank, Sadar Hospital, Giridih",0,0,32,1,6,0,1,0,40,09-05-2024 15:41
284,"Blood Bank, Sadar Hospital, Giridih",0,0,32,1,6,0,1,0,40,09-05-2024 15:41
285,"Health Point Hospital, Blood Centre",3,0,4,0,9,0,1,0,17,10-05-2024 00:47
286,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,10-05-2024 07:59
287,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,10-05-2024 07:59
288,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,10-05-2024 07:59
289,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,10-05-2024 08:00
290,Blood Bank Raj Hospital Ranchi,0,0,20,0,0,0,0,0,20,10-05-2024 08:00
291,Rinchi Trust Hospital Blood Bank,26,0,32,0,35,0,0,0,93,03-05-2024 09:50
292,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,04-05-2024 12:02
293,"Blood Bank, Medanta Hospital, RANCHI",3,0,8,0,8,0,0,0,19,06-05-2024 11:24
294,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,09-05-2024 06:10
295,"Blood Bank, Sadar Hospital,Deoghar",3,0,6,3,17,0,5,0,34,09-05-2024 14:34
296,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,10-05-2024 08:47
297,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",11,0,23,1,21,0,0,2,58,10-05-2024 09:20
298,"Blood Bank, Sadar Hospital, Palamu",10,0,108,0,19,0,33,0,170,10-05-2024 09:43
299,"Blood Bank, Sadar Hospital, Giridih",6,0,32,1,5,0,1,0,45,10-05-2024 09:45
300,"Blood Bank, Sadar Hospital, Giridih",6,0,32,1,5,0,1,0,45,10-05-2024 09:45
301,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,9,0,4,0,1,0,19,10-05-2024 09:59
302,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,10-05-2024 10:02
303,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,10-05-2024 10:03
304,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,10-05-2024 10:03
305,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,8,0,3,0,21,10-05-2024 10:05
306,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,8,0,3,0,21,10-05-2024 10:05
307,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,8,0,3,0,21,10-05-2024 10:05
308,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,8,0,3,0,21,10-05-2024 10:05
309,"Blood Bank, C.C.L. RANCHI",2,0,7,0,5,0,1,0,15,10-05-2024 10:45
310,"Blood Bank, Sadar Hospital, Ramgarh",2,0,10,1,9,0,3,0,25,10-05-2024 10:46
311,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,22,1,21,0,0,0,46,10-05-2024 11:15
312,"Blood Bank, Shanti Bhawan Medical Centre Simdega",3,0,2,0,1,0,0,0,6,10-05-2024 11:35
313,JAMSHEDPUR BLOOD BANK,0,0,0,0,0,0,0,0,0,10-05-2024 15:23
314,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,11-05-2024 06:00
315,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,11-05-2024 06:00
316,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,11-05-2024 07:57
317,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,11-05-2024 07:57
318,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,2,0,1,0,25,11-05-2024 08:26
319,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,11-05-2024 08:33
320,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,6,0,0,0,6,11-05-2024 09:06
321,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",2,0,58,0,62,0,5,0,127,11-05-2024 09:25
322,"Blood Bank, C.C.L. RANCHI",2,0,6,0,5,0,0,0,13,11-05-2024 10:04
323,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",2,1,9,2,4,0,1,0,19,11-05-2024 10:18
324,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,1,2,2,1,1,0,8,11-05-2024 10:21
325,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,1,2,2,1,1,0,8,11-05-2024 10:21
326,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",2,1,9,2,4,0,1,0,19,11-05-2024 10:21
327,"Nagarmal Modi Seva Sadan Hospital, Blood Bank",1,0,1,2,2,1,1,0,8,11-05-2024 10:21
328,Paras Hospital HEC,0,0,1,0,0,0,0,0,1,11-05-2024 10:39
329,Paras Hospital HEC,0,0,1,0,0,0,0,0,1,11-05-2024 10:39
330,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,11-05-2024 10:51
331,"Blood Bank, Sadar Hospital , Lohardaga",10,2,5,0,33,0,0,0,50,11-05-2024 10:52
332,Asarfi Blood Centre,1,0,6,0,4,0,0,0,11,11-05-2024 10:54
333,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,23,1,18,0,0,0,44,11-05-2024 11:04
334,Lake View Hospital Blood Centre,2,0,2,0,0,0,0,0,4,04-05-2024 09:10
335,Lake View Hospital Blood Centre,2,0,2,0,0,0,0,0,4,04-05-2024 09:10
336,"Blood Bank, Sadar Hospital, Dumka",17,6,53,2,64,4,12,1,159,04-05-2024 11:33
337,Shrinivas Blood Centre,0,0,0,0,0,0,0,0,0,04-05-2024 12:30
338,"Blood Bank, Sadar Hospital, Giridih",1,0,15,0,1,1,0,0,18,04-05-2024 16:30
339,"Blood Bank, Sadar Hospital, Giridih",1,0,15,0,1,1,0,0,18,04-05-2024 16:30
340,SINGHPUR NURSING HOME BLOOD CENTRE,8,0,9,0,4,0,0,0,21,05-05-2024 09:13
341,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",4,1,65,0,66,0,2,0,138,06-05-2024 05:41
342,Rinchi Trust Hospital Blood Bank,43,0,24,0,24,0,1,0,92,06-05-2024 08:22
343,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,20,1,26,0,0,0,49,06-05-2024 10:05
344,Lake View Hospital Blood Centre,1,0,2,0,0,0,0,0,3,06-05-2024 10:06
345,"Blood Bank, Sadar Hospital, Jamtara",4,1,3,0,0,0,0,0,8,06-05-2024 10:10
346,"Blood Bank, Sadar Hospital, Jamtara",4,1,3,0,0,0,0,0,8,06-05-2024 10:10
347,"Blood Bank, Sadar Hospital, Dumka",24,6,60,2,80,6,17,1,196,06-05-2024 11:37
348,Blood Bank Raj Hospital Ranchi,0,0,16,0,2,0,0,0,18,07-05-2024 08:08
349,"Blood Bank, Medanta Hospital, RANCHI",3,0,8,0,9,0,2,0,22,07-05-2024 08:35
350,"Blood Bank, Medanta Hospital, RANCHI",3,0,8,0,9,0,2,0,22,07-05-2024 08:36
351,"Blood Bank, Medanta Hospital, RANCHI",3,0,8,0,9,0,2,0,22,07-05-2024 08:36
352,"Blood Bank, Sadar Hospital, Giridih",11,0,27,0,14,1,3,0,56,07-05-2024 15:34
353,"Blood Bank, Sadar Hospital, Giridih",11,0,27,0,14,1,3,0,56,07-05-2024 15:35
354,"Blood Bank, Sadar Hospital, Giridih",11,0,27,0,14,1,3,0,56,07-05-2024 15:35
355,Blood Bank Raj Hospital Ranchi,1,0,19,0,8,0,0,0,28,08-05-2024 07:43
356,Blood Bank Raj Hospital Ranchi,1,0,19,0,8,0,0,0,28,08-05-2024 07:44
357,Blood Bank Raj Hospital Ranchi,1,0,19,0,8,0,0,0,28,08-05-2024 07:44
358,"Blood Bank, Sadar Hospital, Dumka",25,6,63,3,90,6,17,1,211,08-05-2024 10:27
359,"Blood Bank, Sadar Hospital, Dumka",25,6,63,3,90,6,17,1,211,08-05-2024 10:28
360,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,08-05-2024 11:35
361,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,08-05-2024 11:36
362,"Blood Bank, Sadar Hospital, Giridih",13,0,34,0,10,1,3,0,61,09-05-2024 10:03
363,"Blood Bank, Sadar Hospital, Dumka",29,6,66,4,93,6,19,1,224,09-05-2024 13:57
364,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",2,0,25,0,0,0,2,0,29,10-05-2024 08:13
365,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",2,0,25,0,0,0,2,0,29,10-05-2024 08:14
366,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,10-05-2024 10:52
367,"Blood Bank, Sadar Hospital,Deoghar",2,0,5,5,12,0,3,0,27,10-05-2024 11:49
368,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,11-05-2024 07:32
369,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,11-05-2024 07:32
370,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,11-05-2024 07:33
371,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,2,0,1,0,25,11-05-2024 08:13
372,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,2,0,1,0,25,11-05-2024 08:14
373,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,2,0,1,0,25,11-05-2024 08:23
374,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",0,0,22,0,2,0,1,0,25,11-05-2024 08:23
375,"Blood Bank, Sadar Hospital, Palamu",17,0,100,0,19,0,33,0,169,11-05-2024 08:58
376,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,06-05-2024 08:45
377,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,06-05-2024 08:45
378,"Blood Bank, Sadar Hospital, Giridih",0,0,16,0,1,1,1,0,19,06-05-2024 09:48
379,"Blood Bank, K.M.Memorial Hospital Research Centre, BOKARO",7,0,23,2,27,0,6,2,67,06-05-2024 10:27
380,"Blood Bank, Sadar Hospital, Giridih",2,0,11,0,2,1,0,0,16,06-05-2024 15:55
381,"Blood Bank, Sadar Hospital, Giridih",2,0,11,0,2,1,0,0,16,06-05-2024 15:55
382,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,08-05-2024 11:38
383,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,7,0,5,0,2,0,19,08-05-2024 16:35
384,"Blood Bank, Sadar Hospital, Palamu",11,0,114,0,17,0,32,0,174,09-05-2024 10:14
385,Paras Hospital HEC,0,0,3,0,0,0,0,0,3,09-05-2024 10:14
386,Paras Hospital HEC,0,0,3,0,0,0,0,0,3,09-05-2024 10:15
387,Bokaro General Hospital,19,0,43,2,17,2,13,0,96,09-05-2024 11:36
388,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,9,0,6,0,1,0,21,09-05-2024 11:36
389,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,09-05-2024 16:22
390,"Blood Bank, C.C.L. RANCHI",2,0,7,0,5,0,0,0,14,10-05-2024 10:58
391,"Sub-divisional Hospital Blood Bank, Latehar",0,0,3,0,0,0,3,1,7,10-05-2024 14:32
392,"Sub-divisional Hospital Blood Bank, Latehar",0,0,3,0,0,0,3,1,7,10-05-2024 14:32
393,"Health Point Hospital, Blood Centre",2,0,4,0,10,0,0,0,16,11-05-2024 02:47
394,"Blood Bank, Sadar Hospital, Giridih",0,0,35,0,5,0,0,0,40,11-05-2024 09:39
395,"Blood Bank, Sadar Hospital, Giridih",0,0,35,0,5,0,0,0,40,11-05-2024 09:39
396,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,11-05-2024 10:02
397,"Sub-divisional Hospital Blood Bank, Latehar",0,0,2,0,0,0,3,1,6,11-05-2024 10:58
398,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",1,0,61,0,60,0,3,0,125,12-05-2024 07:10
399,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,12-05-2024 07:12
400,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,12-05-2024 07:12
401,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,12-05-2024 07:12
402,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,12-05-2024 07:13
403,"M/s Blood Bank, Bramhanand Narayan Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,12-05-2024 07:13
404,"Blood Bank, Shanti Bhawan Medical Centre Simdega",1,0,5,0,0,0,0,0,6,12-05-2024 08:36
405,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,12-05-2024 08:57
406,"Blood Bank, Sadar Hospital, Palamu",24,0,106,0,29,0,37,0,196,12-05-2024 10:20
407,Blood Bank Dhanbad,9,0,17,1,9,0,0,0,36,12-05-2024 10:22
408,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,12-05-2024 12:09
409,"Blood Bank, Medanta Hospital, RANCHI",13,0,10,0,9,0,2,0,34,12-05-2024 12:09
410,"Blood Bank, Medanta Hospital, RANCHI",13,0,10,0,9,0,2,0,34,12-05-2024 12:09
411,"Blood Bank, Medanta Hospital, RANCHI",13,0,10,0,9,0,2,0,34,12-05-2024 12:09
412,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,9,0,4,0,1,0,19,12-05-2024 16:24
413,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",1,0,62,0,57,0,1,0,121,13-05-2024 05:20
414,"Blood Bank Division, Devkamal Hospital & Reseach Centere",10,1,26,0,8,0,6,1,52,13-05-2024 07:09
415,"Blood Bank Division, Devkamal Hospital & Reseach Centere",10,1,26,0,8,0,6,1,52,13-05-2024 07:09
416,"Blood Bank Division, Devkamal Hospital & Reseach Centere",10,1,26,0,8,0,6,1,52,13-05-2024 07:09
417,Rinchi Trust Hospital Blood Bank,31,0,27,0,22,0,7,0,87,13-05-2024 08:34
418,Rinchi Trust Hospital Blood Bank,35,0,21,0,27,0,7,0,90,08-05-2024 09:36
419,"Blood Bank, Sadar Hospital, Jamtara",4,1,4,0,0,0,1,0,10,08-05-2024 09:49
420,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,0,0,0,0,0,0,0,08-05-2024 11:34
421,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",1,1,3,2,3,1,0,1,12,09-05-2024 09:06
422,"Blood Bank, Sadar Hospital, Ramgarh",5,0,8,2,5,0,3,0,23,09-05-2024 18:10
423,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",2,0,60,0,61,0,0,0,123,10-05-2024 05:54
424,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",2,0,60,0,61,0,2,0,125,10-05-2024 05:54
425,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,10-05-2024 08:19
426,"Blood Bank, Sadar Hospital, Ramgarh",1,0,8,1,7,0,3,0,20,11-05-2024 10:40
427,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,11-05-2024 10:47
428,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,11-05-2024 10:47
429,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,11-05-2024 10:47
430,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,6,0,2,0,18,11-05-2024 11:15
431,"Blood Bank, Sadar Hospital, Jamtara",0,1,1,0,4,0,2,0,8,11-05-2024 11:33
432,"Blood Bank, Sadar Hospital, Dumka",26,6,65,4,94,6,18,1,220,11-05-2024 16:06
433,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,23,0,13,0,0,0,38,12-05-2024 08:50
434,Samford Hospital Pvt Ltd,0,0,2,0,1,0,0,0,3,13-05-2024 01:16
435,Paras Hospital HEC,1,0,1,0,0,0,0,0,2,13-05-2024 08:40
436,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,3,0,10,0,0,0,13,13-05-2024 08:40
437,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,13-05-2024 10:22
438,Lake View Hospital Blood Centre,0,0,1,0,2,0,0,0,3,13-05-2024 10:22
439,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,1,0,9,0,0,0,10,14-05-2024 08:07
440,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,14-05-2024 08:09
441,"Blood Bank, Shanti Bhawan Medical Centre Simdega",1,0,5,0,0,0,0,0,6,14-05-2024 09:11
442,"Blood Bank, Sadar Hospital, Palamu",23,0,90,0,35,0,41,0,189,14-05-2024 09:17
443,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,5,2,3,2,0,0,13,14-05-2024 09:19
444,"Blood Bank, Sadar Hospital, Giridih",0,0,19,1,3,0,0,0,23,14-05-2024 09:30
445,"Blood Bank, Sadar Hospital, Jamtara",0,1,1,0,3,0,1,1,7,14-05-2024 10:05
446,"Blood Bank, C.C.L. RANCHI",2,0,6,0,6,0,0,0,14,14-05-2024 10:06
447,Bokaro General Hospital,27,0,40,2,15,2,12,0,98,14-05-2024 10:18
448,"Blood Bank, Medanta Hospital, RANCHI",8,0,11,0,13,0,2,0,34,14-05-2024 10:32
449,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,14-05-2024 10:45
450,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,14-05-2024 10:45
451,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,14-05-2024 10:45
452,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,14-05-2024 10:45
453,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,14-05-2024 10:46
454,"Blood Bank, Sadar Hospital, Dumka",24,6,56,4,100,6,16,1,213,14-05-2024 12:08
455,"Blood Bank, Rajendra Institute of Medical Sciences,RANCHI",0,0,0,0,0,0,0,0,0,14-05-2024 13:36
456,"Blood Bank, Sadar Hospital,Deoghar",2,0,4,2,1,0,2,0,11,14-05-2024 14:46
457,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",1,0,62,0,55,0,3,0,121,15-05-2024 00:30
458,Blood Bank Raj Hospital Ranchi,6,0,23,0,8,0,0,0,37,15-05-2024 07:03
459,"Blood Bank, C.C.L. RANCHI",4,0,5,0,4,0,2,0,15,08-05-2024 09:52
460,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,21,1,25,0,0,0,49,08-05-2024 10:17
461,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,08-05-2024 11:37
462,Bokaro General Hospital,20,0,45,2,18,2,14,0,101,08-05-2024 12:50
463,"Blood Bank, Shanti Bhawan Medical Centre Simdega",5,0,1,0,1,0,0,0,7,09-05-2024 08:54
464,Rinchi Trust Hospital Blood Bank,34,0,22,0,26,0,8,0,90,09-05-2024 09:29
465,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,09-05-2024 10:08
466,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,09-05-2024 10:08
467,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",2,0,22,1,23,0,0,0,48,09-05-2024 10:47
468,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,10-05-2024 00:13
469,SADAR HOSPITAL RANCHI,0,0,0,0,0,0,0,0,0,10-05-2024 00:15
470,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",1,1,3,2,3,1,0,1,12,10-05-2024 08:36
471,Blood Bank Dhanbad,7,0,23,1,6,0,2,0,39,10-05-2024 10:02
472,Asarfi Blood Centre,0,0,6,0,4,0,0,0,10,10-05-2024 10:39
473,"Blood Bank, C.C.L. RANCHI",1,0,7,0,6,0,1,0,15,10-05-2024 10:40
474,"Blood Bank, Sadar Hospital,Deoghar",2,0,5,5,12,0,3,0,27,10-05-2024 11:48
475,"Blood Bank, Sadar Hospital, Jamtara",0,1,1,0,4,0,2,0,8,10-05-2024 11:56
476,"Blood Bank, Sadar Hospital, Dumka",29,6,63,4,95,6,17,1,221,10-05-2024 11:58
477,"Blood Bank, Medanta Hospital, RANCHI",1,0,9,0,8,0,3,0,21,10-05-2024 12:12
478,"Blood Bank, Sadar Hospital, Giridih",1,0,33,1,5,0,0,0,40,10-05-2024 16:56
479,"Blood Bank, Sadar Hospital, Giridih",1,0,33,1,5,0,0,0,40,10-05-2024 16:56
480,Blood Bank Raj Hospital Ranchi,0,0,22,0,0,0,0,0,22,11-05-2024 08:10
481,"M/S Vikash Sheel Seva Sansthan, Godda Hospital Pvt. Ltd",0,1,3,2,4,1,0,1,12,11-05-2024 08:37
482,"Blood Bank, Shanti Bhawan Medical Centre Simdega",3,0,3,0,0,0,0,0,6,11-05-2024 10:00
483,"Blood Bank, Shanti Bhawan Medical Centre Simdega",3,0,3,0,0,0,0,0,6,11-05-2024 10:01
484,Blood Bank Raj Hospital Ranchi,0,0,23,0,0,0,0,0,23,12-05-2024 08:26
485,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,9,0,3,0,0,0,17,13-05-2024 09:29
486,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,13-05-2024 10:17
487,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,13-05-2024 10:17
488,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,13-05-2024 10:17
489,"Blood Bank, Bhagwan Mahabir Medica Superspecialty Hospital,RANCHI",0,0,1,0,0,0,0,0,1,13-05-2024 10:17
490,"Asian Dwarkadas Jalan Super Speciality Hospital,DHANBAD",6,0,42,0,30,1,2,0,81,13-05-2024 10:37
491,"Blood Bank, C.C.L. RANCHI",2,0,7,0,5,0,0,0,14,13-05-2024 10:37
492,"Blood Bank, Sadar Hospital, Ramgarh",4,0,9,1,6,0,2,0,22,13-05-2024 10:37
493,"Blood Bank, Sadar Hospital, Dumka",27,6,60,4,97,6,15,1,216,13-05-2024 13:13
494,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,25,0,3,0,0,0,29,13-05-2024 17:01
495,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,25,1,3,0,0,0,30,13-05-2024 17:01
496,"Blood Bank Maa Rampyari superspeciality Hospital,RANCHI",1,0,25,0,3,0,0,0,29,13-05-2024 17:01
497,SINGHPUR NURSING HOME BLOOD CENTRE,5,0,8,0,3,0,0,0,16,14-05-2024 09:26
498,Blood Bank Raj Hospital Ranchi,6,0,23,0,8,0,0,0,37,15-05-2024 07:11
499,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,4,0,10,0,0,0,14,15-05-2024 08:19
500,"M/s Blood Centre HZB, Arogyam Multi Speciality Hospital",0,0,4,0,10,0,0,0,14,15-05-2024 08:19
501,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",10,0,65,1,58,0,1,0,135,09-05-2024 05:22
502,"Gurunanak Hospital & Research Centre Blood Bank Unit, RANCHI",10,0,65,0,58,0,1,0,134,09-05-2024 05:23
503,Blood Bank Raj Hospital Ranchi,0,0,19,0,0,0,0,0,19,09-05-2024 08:43
504,"Blood Bank, C.C.L. RANCHI",2,0,6,0,7,0,2,0,17,09-05-2024 09:47
505,"Blood Bank, Sadar Hospital, Giridih",0,0,30,0,0,0,0,0,30,11-05-2024 16:23
